iter	Passed	Remaining
780	71959	20178
781	72043	20083
782	72131	19990
783	72225	19898
784	72318	19806
785	72406	19713
786	72497	19621
787	72582	19527
788	72677	19435
789	72766	19342
790	72865	19252
791	72957	19160
792	73043	19066
793	73136	18975
794	73225	18881
795	73319	18790
796	73415	18699
797	73509	18607
798	73612	18518
799	73700	18425
800	73784	18331
801	73881	18240
802	73976	18148
803	74080	18059
804	74178	17968
805	74271	17876
806	74358	17783
807	74459	17693
808	74544	17599
809	74638	17507
810	74720	17413
811	74801	17318
812	74889	17225
813	74981	17133
814	75070	17040
815	75172	16950
816	75256	16856
817	75339	16762
818	75444	16673
819	75533	16580
820	75627	16488
821	75729	16398
822	75819	16306
823	75921	16216
824	76008	16122
825	76094	16029
826	76187	15937
827	76276	15844
828	76365	15752
829	76453	15659
830	76550	15568
831	76642	15475
832	76730	15382
833	76833	15293
834	76931	15202
835	77023	15109
836	77107	15016
837	77200	14924
838	77297	14832
839	77386	14740
840	77484	14649
841	77579	14557
842	77666	14464
843	77756	14371
844	77854	14281
845	77946	14188
846	78037	14096
847	78128	14004
848	78224	13912
849	78306	13818
850	78402	13727
851	78493	13634
852	78581	13542
853	78668	13449
854	78762	13357
855	78853	13265
856	78943	13172
857	79040	13081
858	79132	12989
859	79226	12897
860	79310	12803
861	79395	12710
862	79487	12618
863	79582	12526
864	79676	12435
865	79765	12342
866	79856	12250
867	79944	12157
868	80043	12066
869	80130	11973
870	80217	11880
871	80299	11787
872	80384	11693
873	80472	11601
874	80562	11508
875	80656	11417
876	80730	11322
877	80822	11230
878	80915	11138
879	81005	11046
880	81102	10954
881	81192	10862
882	81279	10769
883	81366	10677
884	81453	10584
885	81536	10491
886	81627	10398
887	81717	10306
888	81826	10216
889	81925	10125
890	82028	10034
891	82125	9943
892	82222	9851
893	82310	9759
894	82388	9665
895	82484	9574
896	82572	9481
897	82660	9389
898	82745	9296
899	82841	9204
900	82938	9113
901	83022	9020
902	83103	8926
903	83181	8833
904	83276	8741
905	83361	8648
906	83443	8555
907	83530	8463
908	83618	8371
909	83709	8278
910	83801	8186
911	83889	8094
912	83978	8002
913	84066	7909
914	84157	7817
915	84246	7725
916	84341	7633
917	84435	7542
918	84523	7449
919	84608	7357
920	84695	7264
921	84781	7172
922	84870	7080
923	84968	6988
924	85048	6895
925	85142	6804
926	85230	6711
927	85324	6620
928	85419	6528
929	85512	6436
930	85593	6343
931	85675	6250
932	85758	6158
933	85850	6066
